,exp_id,pair_id,roi_index_1,roi_type_1,roi_index_2,roi_type_2,corr_r,corr_p,corr_deconv_r,corr_deconv_p,corr_noise_r,corr_noise_p,corr_event_r,corr_event_p,n_events_x,n_events_joint,n_events_roi_1,n_events_roi_2,dist,roi_id_1,roi_id_2,roi_id,roi_type,n_events_y,events_per_min,mean_event_dFonF0_amp,std_nonevent_dFonF0,snr,exp_index,implant_date,zstack_id,fibre,lens,orientation,maze_session_num,bad_2p_frames,bad_behav_times,primary_exp,exclude,Notes_x,animal_id,fps_2p,short_id,dob,sex,strain,gcamp,celltype,virus_id,hemisphere,injection_date,has_serial2p,Notes_y,exp_id_roi_id
0,20210823_16_59_50_1114353,20210823_16_59_50_1114353-2-43,2,soma,43,dend,0.3732443797886344,0.0,0.22068936545280332,1.9662038075860634e-197,0.4888486039796038,0.0,0.0,1.0,52,45,0,7,34.438350715445125,20210823_16_59_50_1114353_2,20210823_16_59_50_1114353_43,2,soma,50.0,1.6075102880658332,1.8784095406532288,0.2716362,6.91516676873736,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,,20210823_16_59_50_1114353_2
1,20210823_16_59_50_1114353,20210823_16_59_50_1114353-3-106,3,soma,106,dend,0.4971379989244791,0.0,0.36190633456221727,0.0,0.5257938961146652,0.0,0.0,1.0,72,70,0,2,25.0,20210823_16_59_50_1114353_3,20210823_16_59_50_1114353_106,3,soma,84.0,2.7006172839505997,2.744009548709506,0.28685325,9.565900027149967,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,,20210823_16_59_50_1114353_3
2,20210823_16_59_50_1114353,20210823_16_59_50_1114353-3-111,3,soma,111,dend,0.9057271064010868,0.0,0.7235522770885687,0.0,0.9248276608027409,0.0,0.0,1.0,76,76,0,0,0.0,20210823_16_59_50_1114353_3,20210823_16_59_50_1114353_111,3,soma,84.0,2.7006172839505997,2.744009548709506,0.28685325,9.565900027149967,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,,20210823_16_59_50_1114353_3
3,20210823_16_59_50_1114353,20210823_16_59_50_1114353-5-66,5,soma,66,dend,0.49385802414093943,0.0,0.5466014732664848,0.0,0.34695026374150467,0.0,0.0,1.0,48,44,3,1,2.23606797749979,20210823_16_59_50_1114353_5,20210823_16_59_50_1114353_66,5,soma,63.0,2.02546296296295,1.5008288697590904,0.13157725,11.406446263639468,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,,20210823_16_59_50_1114353_5
4,20210823_16_59_50_1114353,20210823_16_59_50_1114353-7-52,7,soma,52,dend,0.7854530046995546,0.0,0.44824381303802097,0.0,0.9462346801515034,0.0,0.0,1.0,37,37,0,0,3.605551275463989,20210823_16_59_50_1114353_7,20210823_16_59_50_1114353_52,7,soma,96.0,3.0864197530863997,1.2347118419905503,0.26430345,4.671569219154002,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,,20210823_16_59_50_1114353_7
5,20210823_16_59_50_1114353,20210823_16_59_50_1114353-8-74,8,soma,74,dend,0.43459504983703207,0.0,0.41032186396846226,0.0,0.5305258031526432,0.0,0.0,1.0,65,61,0,4,28.284271247461902,20210823_16_59_50_1114353_8,20210823_16_59_50_1114353_74,8,soma,60.0,1.9290123456789998,1.9733360360066097,0.2071798,9.524751153795817,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,,20210823_16_59_50_1114353_8
6,20210823_16_59_50_1114353,20210823_16_59_50_1114353-10-29,10,soma,29,dend,0.395168764680889,0.0,0.15264893988089,2.778133089706664e-94,0.627522981230302,0.0,0.0,1.0,36,35,0,1,11.180339887498949,20210823_16_59_50_1114353_10,20210823_16_59_50_1114353_29,10,soma,52.0,1.6718106995884665,0.9534642134721463,0.23582529,4.0430957698047285,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,,20210823_16_59_50_1114353_10
7,20210823_16_59_50_1114353,20210823_16_59_50_1114353-10-106,10,soma,106,dend,0.3964851305386128,0.0,0.13285754108012227,1.1196999129937318e-71,0.6077718778374912,0.0,0.0,1.0,73,44,0,29,0.0,20210823_16_59_50_1114353_10,20210823_16_59_50_1114353_106,10,soma,52.0,1.6718106995884665,0.9534642134721463,0.23582529,4.0430957698047285,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,,20210823_16_59_50_1114353_10
8,20211028_11_25_50_1115465,20211028_11_25_50_1115465-4-39,4,soma,39,dend,0.4951303774353802,0.0,0.5191134653839315,0.0,0.4242685782099316,0.0,0.0,1.0,56,43,1,12,4.0,20211028_11_25_50_1115465_4,20211028_11_25_50_1115465_39,4,soma,65.0,2.1158854166666665,1.332619926104179,0.115873285,11.500665837412376,6,,20211027_14_46_16_1115465,SFB,f4mm,180,,,6:15-8:00;20:00-27:30,1,0,Good 2p. Restricted by tether at 10 mins but can still move.,1115465,9.765625,7f-03-1,5/8/2021,m,penk,7f,penk,ADD3,R,13/10/2021,1,,20211028_11_25_50_1115465_4
9,20211028_11_25_50_1115465,20211028_11_25_50_1115465-11-5,11,soma,5,dend,0.7402380300617762,0.0,0.5194067701589933,0.0,0.8179226110982246,0.0,0.0,1.0,85,85,0,0,0.0,20211028_11_25_50_1115465_11,20211028_11_25_50_1115465_5,11,soma,72.0,2.34375,1.8884029570553038,0.30446583,6.20234774796515,6,,20211027_14_46_16_1115465,SFB,f4mm,180,,,6:15-8:00;20:00-27:30,1,0,Good 2p. Restricted by tether at 10 mins but can still move.,1115465,9.765625,7f-03-1,5/8/2021,m,penk,7f,penk,ADD3,R,13/10/2021,1,,20211028_11_25_50_1115465_11
10,20211028_11_25_50_1115465,20211028_11_25_50_1115465-11-52,11,soma,52,dend,0.4339526212376759,0.0,0.24049949756480984,3.472280537115065e-235,0.6542305647359624,0.0,0.0,1.0,98,87,0,11,1.0,20211028_11_25_50_1115465_11,20211028_11_25_50_1115465_52,11,soma,72.0,2.34375,1.8884029570553038,0.30446583,6.20234774796515,6,,20211027_14_46_16_1115465,SFB,f4mm,180,,,6:15-8:00;20:00-27:30,1,0,Good 2p. Restricted by tether at 10 mins but can still move.,1115465,9.765625,7f-03-1,5/8/2021,m,penk,7f,penk,ADD3,R,13/10/2021,1,,20211028_11_25_50_1115465_11
11,20211028_11_25_50_1115465,20211028_11_25_50_1115465-11-97,11,soma,97,dend,0.3958530858547774,0.0,0.36953625312096217,0.0,0.5531682729665637,0.0,0.0,1.0,98,94,0,4,25.632011235952593,20211028_11_25_50_1115465_11,20211028_11_25_50_1115465_97,11,soma,72.0,2.34375,1.8884029570553038,0.30446583,6.20234774796515,6,,20211027_14_46_16_1115465,SFB,f4mm,180,,,6:15-8:00;20:00-27:30,1,0,Good 2p. Restricted by tether at 10 mins but can still move.,1115465,9.765625,7f-03-1,5/8/2021,m,penk,7f,penk,ADD3,R,13/10/2021,1,,20211028_11_25_50_1115465_11
12,20211028_11_25_50_1115465,20211028_11_25_50_1115465-13-12,13,soma,12,dend,0.5241705798307323,0.0,0.4939180676024758,0.0,0.43871463488240453,0.0,0.0,1.0,50,37,1,12,0.0,20211028_11_25_50_1115465_13,20211028_11_25_50_1115465_12,13,soma,50.0,1.6276041666666665,1.2871999645233154,0.1504214,8.557293042256516,6,,20211027_14_46_16_1115465,SFB,f4mm,180,,,6:15-8:00;20:00-27:30,1,0,Good 2p. Restricted by tether at 10 mins but can still move.,1115465,9.765625,7f-03-1,5/8/2021,m,penk,7f,penk,ADD3,R,13/10/2021,1,,20211028_11_25_50_1115465_13
13,20211203_15_10_27_1115464,20211203_15_10_27_1115464-2-70,2,soma,70,dend,0.4821249346771618,0.0,0.4783291301161356,0.0,0.379117522207012,0.0,0.0,1.0,41,32,1,8,17.0,20211203_15_10_27_1115464_2,20211203_15_10_27_1115464_70,2,soma,48.0,1.5624999999999998,1.7718015313148499,0.13626003,13.003090464658907,9,19/11/2021,20211119_15_22_30_1115464,SFB,f4mm,0,2.0,,,1,0,Good behaviour,1115464,9.765625,7f-03,5/8/2021,m,penk,7f,penk,ADD3,R,12/10/2021,1,,20211203_15_10_27_1115464_2
14,20211203_15_10_27_1115464,20211203_15_10_27_1115464-6-31,6,soma,31,dend,0.580237000512289,0.0,0.305069383241367,0.0,0.7439050843031072,0.0,0.0,1.0,61,60,0,1,4.242640687119285,20211203_15_10_27_1115464_6,20211203_15_10_27_1115464_31,6,soma,58.0,1.8880208333333333,1.9843605756759644,0.38543594,5.148353787851374,9,19/11/2021,20211119_15_22_30_1115464,SFB,f4mm,0,2.0,,,1,0,Good behaviour,1115464,9.765625,7f-03,5/8/2021,m,penk,7f,penk,ADD3,R,12/10/2021,1,,20211203_15_10_27_1115464_6
15,20211203_15_10_27_1115464,20211203_15_10_27_1115464-6-38,6,soma,38,dend,0.5197323487323415,0.0,0.2763046530239749,9.08506407904e-313,0.7003001073000247,0.0,0.0,1.0,69,63,0,6,0.0,20211203_15_10_27_1115464_6,20211203_15_10_27_1115464_38,6,soma,58.0,1.8880208333333333,1.9843605756759644,0.38543594,5.148353787851374,9,19/11/2021,20211119_15_22_30_1115464,SFB,f4mm,0,2.0,,,1,0,Good behaviour,1115464,9.765625,7f-03,5/8/2021,m,penk,7f,penk,ADD3,R,12/10/2021,1,,20211203_15_10_27_1115464_6
16,20211203_15_10_27_1115464,20211203_15_10_27_1115464-11-40,11,soma,40,dend,0.6139685635988845,0.0,0.37198216544942647,0.0,0.7063503470824744,0.0,0.0,1.0,81,81,0,0,0.0,20211203_15_10_27_1115464_11,20211203_15_10_27_1115464_40,11,soma,81.0,2.63671875,1.365767534132357,0.24953057,5.473347578792477,9,19/11/2021,20211119_15_22_30_1115464,SFB,f4mm,0,2.0,,,1,0,Good behaviour,1115464,9.765625,7f-03,5/8/2021,m,penk,7f,penk,ADD3,R,12/10/2021,1,,20211203_15_10_27_1115464_11
17,20211203_15_10_27_1115464,20211203_15_10_27_1115464-16-50,16,soma,50,dend,0.7107883369685992,0.0,0.6336959803349729,0.0,0.7966347523622448,0.0,0.0,1.0,106,106,0,0,7.0710678118654755,20211203_15_10_27_1115464_16,20211203_15_10_27_1115464_50,16,soma,115.0,3.743489583333333,2.112582404717155,0.24586873,8.59231845237525,9,19/11/2021,20211119_15_22_30_1115464,SFB,f4mm,0,2.0,,,1,0,Good behaviour,1115464,9.765625,7f-03,5/8/2021,m,penk,7f,penk,ADD3,R,12/10/2021,1,,20211203_15_10_27_1115464_16
18,20211203_15_10_27_1115464,20211203_15_10_27_1115464-38-31,38,soma,31,dend,0.851907590250405,0.0,0.5730636724035357,0.0,0.9528886528175874,0.0,0.0,1.0,83,83,0,0,48.76474136094644,20211203_15_10_27_1115464_38,20211203_15_10_27_1115464_31,38,dend,115.0,3.743489583333333,2.1397425174713134,0.23593149,9.069338538633067,9,19/11/2021,20211119_15_22_30_1115464,SFB,f4mm,0,2.0,,,1,0,Good behaviour,1115464,9.765625,7f-03,5/8/2021,m,penk,7f,penk,ADD3,R,12/10/2021,1,,20211203_15_10_27_1115464_38
19,20211203_15_10_27_1115464,20211203_15_10_27_1115464-38-38,38,soma,38,dend,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,0.0,1.0,69,69,0,0,0.0,20211203_15_10_27_1115464_38,20211203_15_10_27_1115464_38,38,dend,115.0,3.743489583333333,2.1397425174713134,0.23593149,9.069338538633067,9,19/11/2021,20211119_15_22_30_1115464,SFB,f4mm,0,2.0,,,1,0,Good behaviour,1115464,9.765625,7f-03,5/8/2021,m,penk,7f,penk,ADD3,R,12/10/2021,1,,20211203_15_10_27_1115464_38
20,20220408_15_01_57_1116663,20220408_15_01_57_1116663-0-57,0,soma,57,dend,0.7326262122210055,0.0,0.3356330472279594,0.0,0.8533525490323887,0.0,0.0,1.0,44,41,0,3,1.0,20220408_15_01_57_1116663_0,20220408_15_01_57_1116663_57,0,soma,42.0,1.3671875,2.6302994943800426,0.2382498,11.04009138517118,11,6/4/2022,20220406_18_02_09_1116663,SFB,f4mm,0,1.0,,6:35-7:25;10:30-11:00;12:30-15:30;21:10-21:40;22:30-29:40,1,0,,1116663,9.765625,7f-04,30/12/2021,m,penk,8f,penk,ADD3,R,3/3/2022,1,,20220408_15_01_57_1116663_0
21,20220408_15_01_57_1116663,20220408_15_01_57_1116663-1-71,1,soma,71,dend,0.3390634027458025,0.0,0.44082565900394327,0.0,0.33767346752072513,0.0,0.0,1.0,44,37,0,7,29.410882339705484,20220408_15_01_57_1116663_1,20220408_15_01_57_1116663_71,1,soma,40.0,1.3020833333333333,2.3760069668293,0.18226692,13.035864962965979,11,6/4/2022,20220406_18_02_09_1116663,SFB,f4mm,0,1.0,,6:35-7:25;10:30-11:00;12:30-15:30;21:10-21:40;22:30-29:40,1,0,,1116663,9.765625,7f-04,30/12/2021,m,penk,8f,penk,ADD3,R,3/3/2022,1,,20220408_15_01_57_1116663_1
22,20220408_15_01_57_1116663,20220408_15_01_57_1116663-1-98,1,soma,98,dend,0.427212652476595,0.0,0.40079836004801994,0.0,0.38069906108587964,0.0,0.0,1.0,42,38,0,4,19.313207915827967,20220408_15_01_57_1116663_1,20220408_15_01_57_1116663_98,1,soma,40.0,1.3020833333333333,2.3760069668293,0.18226692,13.035864962965979,11,6/4/2022,20220406_18_02_09_1116663,SFB,f4mm,0,1.0,,6:35-7:25;10:30-11:00;12:30-15:30;21:10-21:40;22:30-29:40,1,0,,1116663,9.765625,7f-04,30/12/2021,m,penk,8f,penk,ADD3,R,3/3/2022,1,,20220408_15_01_57_1116663_1
23,20220408_15_01_57_1116663,20220408_15_01_57_1116663-19-53,19,soma,53,dend,0.5158853803271015,0.0,0.6887717921028228,0.0,0.3071600892013147,0.0,0.0,1.0,70,53,7,10,0.0,20220408_15_01_57_1116663_19,20220408_15_01_57_1116663_53,19,soma,72.0,2.34375,1.3360126026802592,0.2719372,4.912945505459772,11,6/4/2022,20220406_18_02_09_1116663,SFB,f4mm,0,1.0,,6:35-7:25;10:30-11:00;12:30-15:30;21:10-21:40;22:30-29:40,1,0,,1116663,9.765625,7f-04,30/12/2021,m,penk,8f,penk,ADD3,R,3/3/2022,1,,20220408_15_01_57_1116663_19
24,20221115_13_27_42_1118213,20221115_13_27_42_1118213-5-66,5,soma,66,dend,0.3989277467845839,0.0,0.4221067510172455,0.0,0.41329831872054457,0.0,0.0,1.0,95,77,7,11,33.83784863137726,20221115_13_27_42_1118213_5,20221115_13_27_42_1118213_66,5,soma,99.0,3.2226562499999996,1.4259762673666982,0.1282154,11.121723607825702,24,9/11/2022,20221109_14_50_24_1118213,TFB,f6mm,90,1.0,,,1,0,,1118213,9.765625,NP-06,	15/07/2022,m,penk x rbp4,7f,nonpenk,344,R,20/10/2022,1,,20221115_13_27_42_1118213_5
